what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336938812878
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336938813100
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336938813192
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336938818461
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1336938818963
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1336938819054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336938826628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939485080
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336939485089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336939489031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336939502601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939503551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939719078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939809586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939820074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939822892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939826204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336939827263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336940219597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336940219633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336940222693
error,log,,,"Unable to read C:\\Users\\Victor-MBA\\projects\\Spacehold\\spaceholdFinal\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/spaceholdFinal/AndroidManifest.xml'.",1336940222961
error,log,,,"JavaBuilder handling CoreException",1336940223017
error,log,,,"JavaBuilder handling CoreException",1336940223022
error,log,,,"JavaBuilder handling CoreException",1336940223034
error,log,,,"JavaBuilder handling CoreException",1336940223040
error,log,,,"JavaBuilder handling CoreException",1336940223102
error,log,,,"JavaBuilder handling CoreException",1336940223108
error,log,,,"JavaBuilder handling CoreException",1336940223112
error,log,,,"Parser exception for C:\\Users\\Victor-MBA\\projects\\Spacehold\\spaceholdFinal\\AndroidManifest.xml: The content of elements must consist of well-formed character data or markup.",1336940223184
error,log,,,"fileChanged: failed to find manifest package for project spaceholdFinal",1336940223189
error,log,,,"Parser exception for C:\\Users\\Victor-MBA\\projects\\Spacehold\\spaceholdFinal\\AndroidManifest.xml: The content of elements must consist of well-formed character data or markup.",1336940224273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336940230897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336940231868
